s 	l 	c 	mips_e	mips_q	
1	1	2	1.2	514.1181120450469	
1	1	3	1.2	421.9448464333045	
1	1	4	1.2	557.7516902126197	
1	1	5	1.2	425.8958352635791	
1	1	6	1.2	556.7317035243495	
1	1	7	1.2	483.2404329329562	
1	1	8	1.2	430.72109251665836	
1	1	9	1.2	93.13592153875715	
1	2	1	2.65	136.07238019867398	
1	2	2	2.65	523.4834158750027	
1	2	3	2.65	1071.875009370719	
1	2	4	2.65	1466.9310669961874	
1	2	5	2.65	856.2499922024468	
1	2	6	2.65	134.3753639498793	
1	2	7	2.65	856.2499993366787	
1	2	8	2.65	856.2499996422442	
1	2	9	2.65	56.25047261147991	
2	1	1	1.2	508.87514945036673	
2	1	2	1.2	526.0820145689602	
2	1	3	1.2	570.1268029929737	
2	1	4	1.2	490.86088450460994	
2	1	5	1.2	527.1317355286994	
2	1	6	1.2	472.8090996513161	
2	1	7	1.2	481.89598882074074	
2	1	8	1.2	0.0	
2	1	9	1.2	376.2643860630039	
2	1	10	1.2	323.29354837430606	
2	1	11	1.2	-128.5719672403224	
2	1	12	1.2	356.6114234842138	
2	1	13	1.2	369.75523353622003	
2	1	14	1.2	-199.99880784297864	
2	1	15	1.2	280.9390912016453	
2	1	16	1.2	-81.75419361457479	
2	1	17	1.2	319.9338223016066	
2	1	18	1.2	-104.18000713515205	
2	1	19	1.2	-199.99710790070822	
2	1	20	1.2	29.471456261685432	
2	2	1	2.65	448.0689699725497	
2	2	2	2.65	354.0786441166942	
2	2	3	2.65	621.4171384492009	
2	2	4	2.65	856.2499976715897	
2	2	5	2.65	826.095232131069	
2	2	6	2.65	856.2499978043951	
2	2	7	2.65	854.3391744908057	
2	2	8	2.65	1071.8750298311516	
2	2	9	2.65	826.3265137661094	
2	2	10	2.65	56.25157342118978	
2	2	11	2.65	856.249999576733	
2	2	12	2.65	741.7115504173996	
2	2	13	2.65	212.50163881048204	
2	2	14	2.65	56.250065801514815	
2	2	15	2.65	524.7238849194046	
2	2	16	2.65	56.51504881615254	
2	2	17	2.65	56.25013357858801	
2	2	18	2.65	56.25011665546968	
2	2	19	2.65	56.254415305956364	
2	2	20	2.65	856.2498978574865	
3	1	1	1.2	404.23430171031794	
3	1	2	1.2	531.1254391584462	
3	1	3	1.2	478.17191992910966	
3	1	4	1.2	449.902329365723	
3	1	5	1.2	477.074102641323	
3	1	6	1.2	499.66142153178663	
3	1	7	1.2	472.2373803915341	
3	1	8	1.2	462.67091315253043	
3	1	9	1.2	193.34415462400258	
3	2	1	2.65	57.81931055198149	
3	2	2	2.65	856.2475213644225	
3	2	3	2.65	134.38882659083373	
3	2	4	2.65	995.7720924955682	
3	2	5	2.65	993.7500000010298	
3	2	6	2.65	1312.9186634272842	
3	2	7	2.65	770.6035564116519	
3	2	8	2.65	482.27775002990285	
3	2	9	2.65	56.46884751963243	
4	1	1	1.2	561.2325861605027	
4	1	2	1.2	505.7583288317801	
4	1	3	1.2	505.8165955726648	
4	1	4	1.2	489.9478444400023	
4	1	5	1.2	428.0905039942181	
4	1	6	1.2	481.47240785526344	
4	1	7	1.2	436.6671341086721	
4	1	8	1.2	481.0984936616137	
4	1	9	1.2	448.4542913825215	
4	1	10	1.2	387.973358050057	
4	1	11	1.2	390.9565991874458	
4	1	12	1.2	386.1657299360985	
4	1	13	1.2	445.7092548950623	
4	1	14	1.2	32.71838851187408	
4	1	15	1.2	-46.08093122816052	
4	1	16	1.2	50.90565692510279	
4	1	17	1.2	-50.20408007685728	
4	1	18	1.2	-59.19162997431161	
4	1	19	1.2	277.137332677201	
4	1	20	1.2	424.75773050829275	
4	2	1	2.65	856.2499944062124	
4	2	2	2.65	856.2493575320876	
4	2	3	2.65	856.2499888177255	
4	2	4	2.65	1104.7547390081654	
4	2	5	2.65	452.1938841799777	
4	2	6	2.65	1083.580662998255	
4	2	7	2.65	784.9501495203544	
4	2	8	2.65	856.249999787602	
4	2	9	2.65	239.0529901980455	
4	2	10	2.65	56.26173681951303	
4	2	11	2.65	266.2739462352647	
4	2	12	2.65	800.562878795929	
4	2	13	2.65	574.8088753150658	
4	2	14	2.65	56.253327186834845	
4	2	15	2.65	315.01452101641917	
4	2	16	2.65	83.90998778572344	
4	2	17	2.65	56.25365082460281	
4	2	18	2.65	56.250004050004954	
4	2	19	2.65	56.25000009173937	
4	2	20	2.65	56.25037546977411	
5	1	1	1.2	488.76366468869185	
5	1	2	1.2	673.8882518321677	
5	1	3	1.2	282.3195480511272	
5	1	4	1.2	522.1297939637386	
5	1	5	1.2	502.2094254658231	
5	1	6	1.2	488.1247421708215	
5	1	7	1.2	524.2879612627808	
5	1	8	1.2	421.4196582695945	
5	1	9	1.2	-110.15309371019417	
5	2	1	2.65	856.2499958285132	
5	2	2	2.65	1594.1257187455099	
5	2	3	2.65	1053.367714882014	
5	2	4	2.65	1355.1017051949048	
5	2	5	2.65	856.2499995616485	
5	2	6	2.65	748.8078212581689	
5	2	7	2.65	1463.0283176893024	
5	2	8	2.65	856.2496140954776	
5	2	9	2.65	221.94894899899813	
6	1	1	1.2	449.9476392651362	
6	1	2	1.2	527.8504595937825	
6	1	3	1.2	538.3645077462484	
6	1	4	1.2	514.6834903215521	
6	1	5	1.2	496.19414607651214	
6	1	6	1.2	509.60251103632174	
6	1	7	1.2	473.36923241663527	
6	1	8	1.2	555.9551722267818	
6	1	9	1.2	424.66891537694073	
6	1	10	1.2	464.3923202399136	
6	1	11	1.2	459.85864486525907	
6	1	12	1.2	425.1194936189254	
6	1	13	1.2	-59.742998435622894	
6	1	14	1.2	292.1277374341863	
6	1	15	1.2	75.5145695396809	
6	1	16	1.2	-32.96445197330051	
6	1	17	1.2	-38.231443386730916	
6	1	18	1.2	-199.99960802693616	
6	1	19	1.2	1.5708345138863251	
6	1	20	1.2	390.0302591884672	
6	2	1	2.65	1389.03046725188	
6	2	2	2.65	1547.699805871493	
6	2	3	2.65	856.249977387124	
6	2	4	2.65	1012.4999862761068	
6	2	5	2.65	1103.333655361568	
6	2	6	2.65	771.9706089284304	
6	2	7	2.65	847.4615796353831	
6	2	8	2.65	1019.4571162962002	
6	2	9	2.65	134.37506514017397	
6	2	10	2.65	72.69904939915328	
6	2	11	2.65	56.251561137184765	
6	2	12	2.65	766.6101589744972	
6	2	13	2.65	69.01842846952344	
6	2	14	2.65	134.37502827991003	
6	2	15	2.65	89.72516741408567	
6	2	16	2.65	134.37520780371116	
6	2	17	2.65	56.250954278051914	
6	2	18	2.65	56.25000023703897	
6	2	19	2.65	56.250483985725495	
6	2	20	2.65	56.250129784080684	
7	1	1	1.2	559.230030541939	
7	1	2	1.2	479.2924387338382	
7	1	3	1.2	554.7399291870861	
7	1	4	1.2	461.14628427233663	
7	1	5	1.2	522.6149170679837	
7	1	6	1.2	507.52629076917214	
7	1	7	1.2	511.4069852253306	
7	1	8	1.2	507.77952662605844	
7	1	9	1.2	278.87469340168485	
7	2	1	2.65	1312.1341542512544	
7	2	2	2.65	856.2498846793119	
7	2	3	2.65	1462.50000049972	
7	2	4	2.65	856.2499776318074	
7	2	5	2.65	856.2499555002665	
7	2	6	2.65	856.2499951522572	
7	2	7	2.65	930.4232315926167	
7	2	8	2.65	856.2499124139251	
7	2	9	2.65	56.25000028730271	
8	1	1	1.2	496.23963227499485	
8	1	2	1.2	596.6616951994283	
8	1	3	1.2	439.80532292108006	
8	1	4	1.2	562.2207408533222	
8	1	5	1.2	465.5297516655885	
8	1	6	1.2	562.2072995919613	
8	1	7	1.2	491.9113891224492	
8	1	8	1.2	480.4386117694428	
8	1	9	1.2	413.2695413101633	
8	1	10	1.2	406.54108483653374	
8	1	11	1.2	430.6276974840691	
8	1	12	1.2	332.47286202700735	
8	1	13	1.2	288.1680652842832	
8	1	14	1.2	368.12506821486386	
8	1	15	1.2	0.0	
8	1	16	1.2	-67.19180257948966	
8	1	17	1.2	-64.1631252103663	
8	1	18	1.2	-17.093862777922283	
8	1	19	1.2	147.43302681011482	
8	1	20	1.2	-126.30458313596114	
8	2	1	2.65	820.7483077071342	
8	2	2	2.65	1408.0749856106202	
8	2	3	2.65	856.2496892691146	
8	2	4	2.65	1441.3991454694935	
8	2	5	2.65	1084.9120603556407	
8	2	6	2.65	467.2186766185757	
8	2	7	2.65	856.2499997982021	
8	2	8	2.65	434.0780062837401	
8	2	9	2.65	498.6478309484356	
8	2	10	2.65	766.7829717694374	
8	2	11	2.65	56.250019773252326	
8	2	12	2.65	697.887768715685	
8	2	13	2.65	56.250099597577254	
8	2	14	2.65	56.25007587203896	
8	2	15	2.65	134.37500061328657	
8	2	16	2.65	56.36271753095379	
8	2	17	2.65	56.25092531412359	
8	2	18	2.65	706.9338935782662	
8	2	19	2.65	134.37501109010287	
8	2	20	2.65	56.250297100450595	
