s 	l 	c 	ped	ped_rms	gain_pc	gain_mv	thr_npe	
1	1	2	200.0	10.0	20.0	0.0	2.5	
1	1	3	200.0	10.0	20.0	0.0	2.5	
1	1	4	200.0	10.0	20.0	0.0	2.5	
1	1	5	200.0	10.0	20.0	0.0	2.5	
1	1	6	200.0	10.0	20.0	0.0	2.5	
1	1	7	200.0	10.0	20.0	0.0	2.5	
1	1	8	200.0	10.0	20.0	0.0	2.5	
1	1	9	200.0	10.0	20.0	0.0	2.5	
1	2	1	200.0	10.0	20.0	0.0	2.5	
1	2	2	200.0	10.0	20.0	0.0	2.5	
1	2	3	200.0	10.0	20.0	0.0	2.5	
1	2	4	200.0	10.0	20.0	0.0	2.5	
1	2	5	200.0	10.0	20.0	10.099429443692241	2.5	
1	2	6	200.0	10.0	20.0	0.0	2.5	
1	2	7	200.0	10.0	20.0	10.099447150334829	2.5	
1	2	8	200.0	10.0	20.0	10.100390888819824	2.5	
1	2	9	200.0	10.0	20.0	0.0	2.5	
2	1	1	200.0	10.0	20.0	0.0	2.5	
2	1	2	200.0	10.0	20.0	0.0	2.5	
2	1	3	200.0	10.0	20.0	0.0	2.5	
2	1	4	200.0	10.0	20.0	0.0	2.5	
2	1	5	200.0	10.0	20.0	0.0	2.5	
2	1	6	200.0	10.0	20.0	0.0	2.5	
2	1	7	200.0	10.0	20.0	0.0	2.5	
2	1	8	200.0	10.0	20.0	0.0	2.5	
2	1	9	200.0	10.0	20.0	0.0	2.5	
2	1	10	200.0	10.0	20.0	0.0	2.5	
2	1	11	200.0	10.0	20.0	0.0	2.5	
2	1	12	200.0	10.0	20.0	0.0	2.5	
2	1	13	200.0	10.0	20.0	0.0	2.5	
2	1	14	200.0	10.0	20.0	0.0	2.5	
2	1	15	200.0	10.0	20.0	0.0	2.5	
2	1	16	200.0	10.0	20.0	0.0	2.5	
2	1	17	200.0	10.0	20.0	0.0	2.5	
2	1	18	200.0	10.0	20.0	0.0	2.5	
2	1	19	200.0	10.0	20.0	0.0	2.5	
2	1	20	200.0	10.0	20.0	0.0	2.5	
2	2	1	200.0	10.0	20.0	0.0	2.5	
2	2	2	200.0	10.0	20.0	0.0	2.5	
2	2	3	200.0	10.0	20.0	0.0	2.5	
2	2	4	200.0	10.0	20.0	0.0	2.5	
2	2	5	200.0	10.0	20.0	10.100321101852483	2.5	
2	2	6	200.0	10.0	20.0	10.100273761905981	2.5	
2	2	7	200.0	10.0	20.0	10.100275012003896	2.5	
2	2	8	200.0	10.0	20.0	10.100267383911852	2.5	
2	2	9	200.0	10.0	20.0	10.100341543516452	2.5	
2	2	10	200.0	10.0	20.0	10.10051727928708	2.5	
2	2	11	200.0	10.0	20.0	10.100248367707565	2.5	
2	2	12	200.0	10.0	20.0	10.10027164572059	2.5	
2	2	13	200.0	10.0	20.0	0.0	2.5	
2	2	14	200.0	10.0	20.0	0.0	2.5	
2	2	15	200.0	10.0	20.0	0.0	2.5	
2	2	16	200.0	10.0	20.0	0.0	2.5	
2	2	17	200.0	10.0	20.0	0.0	2.5	
2	2	18	200.0	10.0	20.0	0.0	2.5	
2	2	19	200.0	10.0	20.0	0.0	2.5	
2	2	20	200.0	10.0	20.0	0.0	2.5	
3	1	1	200.0	10.0	20.0	0.0	2.5	
3	1	2	200.0	10.0	20.0	0.0	2.5	
3	1	3	200.0	10.0	20.0	0.0	2.5	
3	1	4	200.0	10.0	20.0	0.0	2.5	
3	1	5	200.0	10.0	20.0	0.0	2.5	
3	1	6	200.0	10.0	20.0	0.0	2.5	
3	1	7	200.0	10.0	20.0	0.0	2.5	
3	1	8	200.0	10.0	20.0	0.0	2.5	
3	1	9	200.0	10.0	20.0	0.0	2.5	
3	2	1	200.0	10.0	20.0	0.0	2.5	
3	2	2	200.0	10.0	20.0	0.0	2.5	
3	2	3	200.0	10.0	20.0	0.0	2.5	
3	2	4	200.0	10.0	20.0	0.0	2.5	
3	2	5	200.0	10.0	20.0	0.0	2.5	
3	2	6	200.0	10.0	20.0	0.0	2.5	
3	2	7	200.0	10.0	20.0	10.100274210429834	2.5	
3	2	8	200.0	10.0	20.0	10.099586493862056	2.5	
3	2	9	200.0	10.0	20.0	0.0	2.5	
4	1	1	200.0	10.0	20.0	0.0	2.5	
4	1	2	200.0	10.0	20.0	0.0	2.5	
4	1	3	200.0	10.0	20.0	0.0	2.5	
4	1	4	200.0	10.0	20.0	0.0	2.5	
4	1	5	200.0	10.0	20.0	0.0	2.5	
4	1	6	200.0	10.0	20.0	0.0	2.5	
4	1	7	200.0	10.0	20.0	0.0	2.5	
4	1	8	200.0	10.0	20.0	0.0	2.5	
4	1	9	200.0	10.0	20.0	0.0	2.5	
4	1	10	200.0	10.0	20.0	0.0	2.5	
4	1	11	200.0	10.0	20.0	0.0	2.5	
4	1	12	200.0	10.0	20.0	0.0	2.5	
4	1	13	200.0	10.0	20.0	0.0	2.5	
4	1	14	200.0	10.0	20.0	0.0	2.5	
4	1	15	200.0	10.0	20.0	0.0	2.5	
4	1	16	200.0	10.0	20.0	0.0	2.5	
4	1	17	200.0	10.0	20.0	0.0	2.5	
4	1	18	200.0	10.0	20.0	0.0	2.5	
4	1	19	200.0	10.0	20.0	0.0	2.5	
4	1	20	200.0	10.0	20.0	0.0	2.5	
4	2	1	200.0	10.0	20.0	0.0	2.5	
4	2	2	200.0	10.0	20.0	0.0	2.5	
4	2	3	200.0	10.0	20.0	0.0	2.5	
4	2	4	200.0	10.0	20.0	0.0	2.5	
4	2	5	200.0	10.0	20.0	10.099373493104125	2.5	
4	2	6	200.0	10.0	20.0	10.100398914974464	2.5	
4	2	7	200.0	10.0	20.0	10.099496938873342	2.5	
4	2	8	200.0	10.0	20.0	10.100274210429834	2.5	
4	2	9	200.0	10.0	20.0	10.10033890382907	2.5	
4	2	10	200.0	10.0	20.0	10.100419897326717	2.5	
4	2	11	200.0	10.0	20.0	10.100643251697631	2.5	
4	2	12	200.0	10.0	20.0	10.100338856596114	2.5	
4	2	13	200.0	10.0	20.0	0.0	2.5	
4	2	14	200.0	10.0	20.0	0.0	2.5	
4	2	15	200.0	10.0	20.0	0.0	2.5	
4	2	16	200.0	10.0	20.0	0.0	2.5	
4	2	17	200.0	10.0	20.0	0.0	2.5	
4	2	18	200.0	10.0	20.0	0.0	2.5	
4	2	19	200.0	10.0	20.0	0.0	2.5	
4	2	20	200.0	10.0	20.0	0.0	2.5	
5	1	1	200.0	10.0	20.0	0.0	2.5	
5	1	2	200.0	10.0	20.0	0.0	2.5	
5	1	3	200.0	10.0	20.0	0.0	2.5	
5	1	4	200.0	10.0	20.0	0.0	2.5	
5	1	5	200.0	10.0	20.0	0.0	2.5	
5	1	6	200.0	10.0	20.0	0.0	2.5	
5	1	7	200.0	10.0	20.0	0.0	2.5	
5	1	8	200.0	10.0	20.0	0.0	2.5	
5	1	9	200.0	10.0	20.0	0.0	2.5	
5	2	1	200.0	10.0	20.0	0.0	2.5	
5	2	2	200.0	10.0	20.0	0.0	2.5	
5	2	3	200.0	10.0	20.0	0.0	2.5	
