s 	l 	c 	t_offset	t_rms	
1	1	2	-0.41685623857899223	1.1768364433426894	
1	1	3	0.0	0.0	
1	1	4	-0.4696261061913951	1.132867863516484	
1	1	5	-0.4705644522574026	1.064421997323791	
1	1	6	-0.5750053544261089	1.084054417006351	
1	1	7	-0.3554854661050726	1.1887733216032703	
1	1	8	-0.3913648800303431	1.283800842511531	
1	1	9	0.0	0.0	
1	2	1	0.0	0.0	
1	2	2	-0.6059059990680851	1.1066779354675331	
1	2	3	0.0	0.0	
1	2	4	-0.395198355719387	1.0274843635357496	
1	2	5	-0.49806081225981913	1.1860026589035393	
1	2	6	-0.5152703784767017	1.1721479758112703	
1	2	7	-0.5240494208451238	1.2075813802722737	
1	2	8	-0.315954745079134	1.0369857630091086	
1	2	9	0.0	0.0	
2	1	1	-0.32548023643075297	1.0586263680665042	
2	1	2	-0.35969338304045984	1.1473794431204147	
2	1	3	-0.3330886631790406	1.1283631017923927	
2	1	4	-0.4432522823382534	0.7730799267377672	
2	1	5	-0.22220261366891414	1.1859997251896637	
2	1	6	-0.25692978278014955	1.0869293860282778	
2	1	7	-0.18806195948516624	1.0173573535642952	
2	1	8	0.0	0.0	
2	1	9	-0.22125936177623728	1.1342625742701553	
2	1	10	-0.1401686571425138	1.0225158099781033	
2	1	11	-0.18174511300250096	1.055686447342811	
2	1	12	-0.3809146452372705	1.0076174113223808	
2	1	13	0.11561279368921262	1.0561895667931356	
2	1	14	0.0	0.0	
2	1	15	0.0	0.0	
2	1	16	0.0	0.0	
2	1	17	0.0	0.0	
2	1	18	0.0	0.0	
2	1	19	0.0	0.0	
2	1	20	-0.11629786777607265	1.0828664203142004	
2	2	1	-0.4457747368710283	1.263553527476068	
2	2	2	-0.4789515167551439	1.1112989423667805	
2	2	3	-0.12462545335475461	1.1152889022163086	
2	2	4	-0.49455586594127077	1.0007186167199313	
2	2	5	-0.23120002357436675	1.1384925395129042	
2	2	6	-0.28168190298538853	1.0705022770721382	
2	2	7	-0.2953176725083644	1.0901408213954629	
2	2	8	0.0	0.0	
2	2	9	-0.1672685100015876	1.1352537203163309	
2	2	10	-0.20745283539940473	1.0894943711054745	
2	2	11	0.0031038432184669063	1.3289936558489175	
2	2	12	-0.305374342678558	1.1594573104776744	
2	2	13	-0.28065590464988865	0.800380841005061	
2	2	14	0.0	0.0	
2	2	15	0.0	0.0	
2	2	16	0.0	0.0	
2	2	17	0.0	0.0	
2	2	18	0.0	0.0	
2	2	19	0.0	0.0	
2	2	20	-0.3078972555898343	1.1701603184873117	
3	1	1	0.0	0.0	
3	1	2	-0.4799217658405208	1.1682784433329827	
3	1	3	0.0	0.0	
3	1	4	-0.39455418573872336	1.0224637945823674	
3	1	5	-0.3334641471022213	1.1726221474175733	
3	1	6	-0.5386340439819506	1.1522084070108727	
3	1	7	-0.39413647028764665	0.9411151142934737	
3	1	8	-0.39362218402881943	1.1954863609915747	
3	1	9	0.0	0.0	
3	2	1	0.0	0.0	
3	2	2	-0.5523412385797943	1.214805245861644	
3	2	3	0.0	0.0	
3	2	4	-0.33738993120600824	0.9864627085874276	
3	2	5	-0.3873680585849897	1.0311772374470973	
3	2	6	-0.4965458051117242	1.0185245838792774	
3	2	7	-0.4508200478283939	1.1110491278481753	
3	2	8	-0.3101355336066671	1.0538667026790378	
3	2	9	0.0	0.0	
4	1	1	-0.6101085933205805	1.2349770785553194	
4	1	2	-0.3488020736839861	1.1015371813666603	
4	1	3	-0.11358038642731927	1.1145120459664566	
4	1	4	-0.48016703037025543	0.9195706028054222	
4	1	5	-0.23646641818187675	0.9697157996551586	
4	1	6	-0.19823599401105518	1.0866040989425418	
4	1	7	-0.32592543496368975	0.939529383660187	
4	1	8	-0.25309181872065345	1.1608245207792989	
4	1	9	-0.22256489411663516	1.1492161619766261	
4	1	10	0.05913918072594804	1.0953904254063431	
4	1	11	-0.07401917970023852	1.0124879583949273	
4	1	12	-0.26701492473433497	1.2907211236712806	
4	1	13	0.09326689867638649	1.0771914986693802	
4	1	14	0.0	0.0	
4	1	15	0.0	0.0	
4	1	16	0.0	0.0	
4	1	17	0.0	0.0	
4	1	18	0.0	0.0	
4	1	19	0.0	0.0	
4	1	20	0.0	0.0	
4	2	1	-0.43535012702018605	1.020849210004427	
4	2	2	-0.47529299070260045	1.1851581269454994	
4	2	3	-0.24419560611387503	1.1246614255320715	
4	2	4	-0.6424503640462298	1.059723177568275	
4	2	5	-0.42370366128468717	1.0076412720027328	
4	2	6	-0.04905525371610864	1.1299777273841642	
4	2	7	-0.1378138783782923	1.1084147278040541	
4	2	8	-0.08485015295233644	1.149756082014788	
4	2	9	-0.29068154480821207	1.1849573806249483	
4	2	10	-0.10583336640713625	1.262201741535658	
4	2	11	-0.24129670789344715	1.0732225768965973	
4	2	12	-0.2557113337921475	1.2209855574834323	
4	2	13	-0.13474956287634932	1.339838080646521	
4	2	14	0.0	0.0	
4	2	15	0.0	0.0	
4	2	16	0.0	0.0	
4	2	17	0.0	0.0	
4	2	18	0.0	0.0	
4	2	19	0.0	0.0	
4	2	20	0.0	0.0	
5	1	1	0.0	0.0	
5	1	2	-0.40603114911015403	1.3868729764866934	
5	1	3	0.0	0.0	
5	1	4	-0.4708621882499582	1.2370867082535884	
5	1	5	-0.4142952438188914	1.058240918846711	
5	1	6	-0.7283708062626886	1.2002367887037562	
5	1	7	-0.5850314488891879	1.3215023516970918	
5	1	8	-0.3082666173594273	1.0696654540822577	
5	1	9	0.0	0.0	
5	2	1	0.0	0.0	
5	2	2	-0.5354821399098633	1.150533165265014	
5	2	3	0.0	0.0	
5	2	4	-0.47079837236947775	1.0212700869554425	
5	2	5	-0.3998938466481743	0.9493652321297357	
5	2	6	-0.46771098458299143	1.1805771736628343	
5	2	7	-0.29198683132455017	1.2459415936068836	
5	2	8	-0.36149813637392647	1.024320961048079	
5	2	9	0.0	0.0	
6	1	1	-0.48233790625279127	1.0745282438714432	
6	1	2	-0.4031702324402424	0.8552370757563792	
6	1	3	-0.30875102067921034	1.237376743394388	
6	1	4	-0.43247824651955646	1.073102838855118	
6	1	5	-0.4233821046079722	0.9899215358898434	
6	1	6	-0.3103099578550452	1.1883948076954711	
6	1	7	-0.20512695119501068	1.113099826018127	
6	1	8	-0.4887831847237294	1.0387472091101886	
6	1	9	-0.12001464528449901	1.0641306910595816	
6	1	10	-0.14370519764542067	1.1052884381318877	
6	1	11	-0.16949795329669115	1.0860332071404033	
6	1	12	-0.29764131550208006	1.1339560744382717	
6	1	13	0.0	0.0	
6	1	14	0.0	0.0	
6	1	15	0.0	0.0	
6	1	16	0.0	0.0	
6	1	17	0.0	0.0	
6	1	18	0.0	0.0	
6	1	19	0.0	0.0	
6	1	20	0.0	0.0	
6	2	1	-0.45297600256565573	0.9856044607431564	
6	2	2	-0.39639175020352724	1.2004398417215258	
6	2	3	-0.3981324947554761	1.1751397800624563	
6	2	4	-0.5724118127247628	1.0017313745968168	
6	2	5	-0.4277783122839267	0.9260376653035101	
6	2	6	-0.34384326867041004	1.08240267243768	
6	2	7	-0.2764846032442101	1.11544803296092	
6	2	8	-0.33058479275641517	1.100392811212377	
6	2	9	-0.4051350404585534	1.1197434655645215	
6	2	10	0.00836817249173194	1.2271173095261712	
6	2	11	-0.06713353209348938	1.1614324545802401	
6	2	12	-0.3418360537375573	1.1283563914979515	
6	2	13	0.0	0.0	
6	2	14	0.0	0.0	
6	2	15	0.0	0.0	
6	2	16	0.0	0.0	
6	2	17	0.0	0.0	
6	2	18	0.0	0.0	
6	2	19	0.0	0.0	
6	2	20	0.0	0.0	
7	1	1	0.0	0.0	
7	1	2	-0.46360215404006766	1.143144407518037	
7	1	3	0.0	0.0	
7	1	4	-0.4026221143937576	1.0620641776813942	
7	1	5	-0.33897333681731645	1.2560577569336273	
7	1	6	-0.5030465437123315	1.155286936633969	
7	1	7	-0.2906290140870844	1.03979767664329	
7	1	8	-0.2286087647182189	1.2021678086611585	
7	1	9	0.0	0.0	
7	2	1	0.0	0.0	
7	2	2	-0.46022292098884066	1.1378217345135901	
7	2	3	0.0	0.0	
7	2	4	-0.32571040762853976	1.2287580530937454	
7	2	5	-0.5093322453342299	1.173642627515586	
7	2	6	-0.5585883520502986	1.0861967992705515	
7	2	7	-0.2757965653801744	1.2389964534927063	
7	2	8	-0.2464237153562827	1.032490599339478	
7	2	9	0.0	0.0	
8	1	1	-0.42276787254433223	1.2246096369173172	
8	1	2	-0.4631427158829311	1.081587703076982	
8	1	3	-0.18730508389605305	1.3057887004199111	
8	1	4	-0.5177588022919846	1.1477047326994174	
8	1	5	-0.22682864794413327	1.0658489818022956	
8	1	6	-0.06424208882841143	1.0704820391496919	
8	1	7	-0.15975909638746089	1.1267621691171517	
8	1	8	-0.24662687783738413	1.2500917563905742	
8	1	9	-0.3171797817457236	1.0446309929745985	
8	1	10	-0.1901238376083274	1.1396704898883347	
8	1	11	-0.2206758068107284	1.1581163338386316	
8	1	12	-0.20686807672356977	1.2018064807318705	
8	1	13	0.0	0.0	
8	1	14	0.0	0.0	
8	1	15	0.0	0.0	
8	1	16	0.0	0.0	
8	1	17	0.0	0.0	
8	1	18	0.0	0.0	
8	1	19	0.0	0.0	
8	1	20	0.05799606957421588	0.8256513197671025	
8	2	1	-0.5327442604896824	1.2532831010965797	
8	2	2	-0.35476573160345026	1.0982527556380677	
8	2	3	-0.45876988971831345	1.2421900005343425	
8	2	4	-0.5018640165225392	0.9843435950042341	
8	2	5	-0.4384813164413952	1.2706893103140542	
8	2	6	-0.06639413533413219	1.2903918848482419	
8	2	7	-0.35785192366327223	1.2441274440598664	
8	2	8	-0.31095948234344917	1.0989247376704667	
8	2	9	-0.4035470924816238	1.2464959855161106	
8	2	10	-0.07404082834743164	1.3204458114867836	
8	2	11	-0.1315926042230906	1.252882190244556	
8	2	12	-0.3960440907666012	1.2490009028483358	
8	2	13	0.0	0.0	
8	2	14	0.0	0.0	
8	2	15	0.0	0.0	
8	2	16	0.0	0.0	
8	2	17	0.0	0.0	
8	2	18	0.0	0.0	
8	2	19	0.0	0.0	
8	2	20	-0.4975499956574332	1.312290454690821	
